Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Alaska,02/01/2021,"32,300","32,300"
American Samoa,02/01/2021,"3,200",0
Arizona,02/01/2021,"57,200","57,200"
Arkansas,02/01/2021,"24,500","24,500"
California,02/01/2021,"322,000","322,000"
Chicago,02/01/2021,"22,400","22,400"
Colorado,02/01/2021,"45,800","45,800"
Connecticut,02/01/2021,"30,300","30,300"
Delaware,02/01/2021,"8,000","8,000"
District of Columbia,02/01/2021,"6,100","6,100"
Federal Entities,02/01/2021,"151,180","151,800"
Florida,02/01/2021,"176,100","176,100"
Georgia,02/01/2021,"83,500","83,500"
Guam,02/01/2021,"9,200",0
Hawaii,02/01/2021,"12,000","12,000"
Idaho,02/01/2021,"13,400","13,400"
Illinois,02/01/2021,"83,600","83,600"
Indiana,02/01/2021,"54,300","54,300"
Iowa,02/01/2021,"25,800","25,800"
Kansas,02/01/2021,"23,500","23,500"
Kentucky,02/01/2021,"36,700","36,700"
Louisiana,02/01/2021,"38,100","38,100"
Maine,02/01/2021,"11,600","11,600"
Mariana Islands,02/01/2021,"3,200",0
Marshall Islands,02/01/2021,"6,600",0
Maryland,02/01/2021,"49,900","49,900"
Massachusetts,02/01/2021,"58,400","58,400"
Michigan,02/01/2021,"83,100","83,100"
Micronesia,02/01/2021,"9,400",0
Minnesota,02/01/2021,"45,500","45,500"
Mississippi,02/01/2021,"24,300","24,300"
Missouri,02/01/2021,"50,400","50,400"
Montana,02/01/2021,"8,800","8,800"
Nebraska,02/01/2021,"15,500","15,500"
Nevada,02/01/2021,"24,100","24,100"
New Hampshire,02/01/2021,"11,600","11,600"
New Jersey,02/01/2021,"74,000","74,000"
New Mexico,02/01/2021,"17,300","17,300"
New York,02/01/2021,"94,200","94,200"
New York City,02/01/2021,"71,500","71,500"
North Carolina,02/01/2021,"84,200","84,200"
North Dakota,02/01/2021,"6,400","6,400"
Ohio,02/01/2021,"96,600","96,600"
Oklahoma,02/01/2021,"31,700","31,700"
Oregon,02/01/2021,"34,600","34,600"
Palau,02/01/2021,"2,800",0
Pennsylvania,02/01/2021,"95,200","95,200"
Philadelphia,02/01/2021,"13,200","13,200"
Puerto Rico,02/01/2021,"28,900","28,900"
Rhode Island,02/01/2021,"9,100","9,100"
South Carolina,02/01/2021,"41,400","41,400"
South Dakota,02/01/2021,"7,000","7,000"
Tennessee,02/01/2021,"55,200","55,200"
Texas,02/01/2021,"220,500","220,500"
U.S. Virgin Islands,02/01/2021,900,900
Utah,02/01/2021,"22,900","22,900"
Vermont,02/01/2021,"5,500","5,500"
Virginia,02/01/2021,"70,100","70,100"
Washington,02/01/2021,"61,300","61,300"
West Virginia,02/01/2021,"15,600","15,600"
Wisconsin,02/01/2021,"48,300","48,300"
Wyoming,02/01/2021,"4,800","4,800"
Alabama,01/25/2021,"30,600","30,600"
Alaska,01/25/2021,0,0
American Samoa,01/25/2021,0,0
Arizona,01/25/2021,"43,400","43,400"
Arkansas,01/25/2021,"18,600","18,600"
California,01/25/2021,"244,000","244,000"
Chicago,01/25/2021,"17,000","17,000"
Colorado,01/25/2021,"34,700","34,700"
Connecticut,01/25/2021,"23,000","23,000"
Delaware,01/25/2021,"6,100","6,100"
District of Columbia,01/25/2021,"4,600","4,600"
Federal Entities,01/25/2021,"105,300","105,300"
Florida,01/25/2021,"133,500","133,500"
Georgia,01/25/2021,"63,300","63,300"
Guam,01/25/2021,0,0
Hawaii,01/25/2021,"9,100","9,100"
Idaho,01/25/2021,"10,200","10,200"
Illinois,01/25/2021,"63,300","63,300"
Indiana,01/25/2021,"41,100","41,100"
Iowa,01/25/2021,"19,500","19,500"
Kansas,01/25/2021,"17,800","17,800"
Kentucky,01/25/2021,"27,900","27,900"
Louisiana,01/25/2021,"28,900","28,900"
Maine,01/25/2021,"8,800","8,800"
Mariana Islands,01/25/2021,0,0
Marshall Islands,01/25/2021,0,0
Maryland,01/25/2021,"37,800","37,800"
Massachusetts,01/25/2021,"44,300","44,300"
Michigan,01/25/2021,"63,000","63,000"
Micronesia,01/25/2021,0,0
Minnesota,01/25/2021,"34,500","34,500"
Mississippi,01/25/2021,"18,500","18,500"
Missouri,01/25/2021,"38,200","38,200"
Montana,01/25/2021,"6,700","6,700"
Nebraska,01/25/2021,"11,800","11,800"
Nevada,01/25/2021,"18,300","18,300"
New Hampshire,01/25/2021,"8,800","8,800"
New Jersey,01/25/2021,"56,100","56,100"
New Mexico,01/25/2021,"13,200","13,200"
New York,01/25/2021,"71,400","71,400"
New York City,01/25/2021,"54,200","54,200"
North Carolina,01/25/2021,"63,800","63,800"
North Dakota,01/25/2021,"4,800","4,800"
Ohio,01/25/2021,"73,200","73,200"
Oklahoma,01/25/2021,"24,100","24,100"
Oregon,01/25/2021,"26,200","26,200"
Palau,01/25/2021,0,0
Pennsylvania,01/25/2021,"72,100","72,100"
Philadelphia,01/25/2021,"10,000","10,000"
Puerto Rico,01/25/2021,"21,900","21,900"
Rhode Island,01/25/2021,"6,900","6,900"
South Carolina,01/25/2021,"31,400","31,400"
South Dakota,01/25/2021,"5,300","5,300"
Tennessee,01/25/2021,"41,800","41,800"
Texas,01/25/2021,"167,100","167,100"
U.S. Virgin Islands,01/25/2021,700,700
Utah,01/25/2021,"17,400","17,400"
Vermont,01/25/2021,"4,200","4,200"
Virginia,01/25/2021,"53,100","53,100"
Washington,01/25/2021,"46,500","46,500"
West Virginia,01/25/2021,"11,900","11,900"
Wisconsin,01/25/2021,"36,700","36,700"
Wyoming,01/25/2021,"3,700","3,700"
Alabama,01/18/2021,"30,600","30,600"
Alaska,01/18/2021,0,0
American Samoa,01/18/2021,0,0
Arizona,01/18/2021,"43,400","43,400"
Arkansas,01/18/2021,"18,600","18,600"
California,01/18/2021,"244,000","244,000"
Chicago,01/18/2021,"17,000","17,000"
Colorado,01/18/2021,"34,700","34,700"
Connecticut,01/18/2021,"23,000","23,000"
Delaware,01/18/2021,"6,100","6,100"
District of Columbia,01/18/2021,"4,600","4,600"
Federal Entities,01/18/2021,"105,000","105,000"
Florida,01/18/2021,"133,500","133,500"
Georgia,01/18/2021,"63,300","63,300"
Guam,01/18/2021,0,0
Hawaii,01/18/2021,"9,100","9,100"
Idaho,01/18/2021,"10,200","10,200"
Illinois,01/18/2021,"63,300","63,300"
Indiana,01/18/2021,"41,100","41,100"
Iowa,01/18/2021,"19,500","19,500"
Kansas,01/18/2021,"17,800","17,800"
Kentucky,01/18/2021,"27,900","27,900"
Louisiana,01/18/2021,"28,900","28,900"
Maine,01/18/2021,"8,800","8,800"
Mariana Islands,01/18/2021,0,0
Marshall Islands,01/18/2021,0,0
Maryland,01/18/2021,"37,800","37,800"
Massachusetts,01/18/2021,"44,300","44,300"
Michigan,01/18/2021,"63,000","63,000"
Micronesia,01/18/2021,0,0
Minnesota,01/18/2021,"34,500","34,500"
Mississippi,01/18/2021,"18,500","18,500"
Missouri,01/18/2021,"38,200","38,200"
Montana,01/18/2021,"6,700","6,700"
Nebraska,01/18/2021,"11,800","11,800"
Nevada,01/18/2021,"18,300","18,300"
New Hampshire,01/18/2021,"8,800","8,800"
New Jersey,01/18/2021,"56,100","56,100"
New Mexico,01/18/2021,"13,200","13,200"
New York,01/18/2021,"71,400","71,400"
New York City,01/18/2021,"54,200","54,200"
North Carolina,01/18/2021,"63,800","63,800"
North Dakota,01/18/2021,"4,800","4,800"
Ohio,01/18/2021,"73,200","73,200"
Oklahoma,01/18/2021,"24,100","24,100"
Oregon,01/18/2021,"26,200","26,200"
Palau,01/18/2021,0,0
Pennsylvania,01/18/2021,"72,100","72,100"
Philadelphia,01/18/2021,"10,000","10,000"
Puerto Rico,01/18/2021,"21,900","21,900"
Rhode Island,01/18/2021,"6,900","6,900"
South Carolina,01/18/2021,"31,400","31,400"
South Dakota,01/18/2021,"5,300","5,300"
Tennessee,01/18/2021,"41,800","41,800"
Texas,01/18/2021,"167,100","167,100"
U.S. Virgin Islands,01/18/2021,700,700
Utah,01/18/2021,"17,400","17,400"
Vermont,01/18/2021,"4,200","4,200"
Virginia,01/18/2021,"53,100","53,100"
Washington,01/18/2021,"46,500","46,500"
West Virginia,01/18/2021,"11,900","11,900"
Wisconsin,01/18/2021,"36,700","36,700"
Wyoming,01/18/2021,"3,700","3,700"
Alabama,01/11/2021,"29,100","29,100"
Alaska,01/11/2021,0,0
American Samoa,01/11/2021,0,0
Arizona,01/11/2021,"41,300","41,300"
Arkansas,01/11/2021,"17,700","17,700"
California,01/11/2021,"232,300","232,300"
Chicago,01/11/2021,"16,200","16,200"
Colorado,01/11/2021,"33,000","33,000"
Connecticut,01/11/2021,"21,900","21,900"
Delaware,01/11/2021,"5,800","5,800"
District of Columbia,01/11/2021,"4,400","4,400"
Federal Entities,01/11/2021,"99,900","99,900"
Florida,01/11/2021,"127,100","127,100"
Georgia,01/11/2021,"60,200","60,200"
Guam,01/11/2021,0,0
Hawaii,01/11/2021,"8,700","8,700"
Idaho,01/11/2021,"9,700","9,700"
Illinois,01/11/2021,"60,300","60,300"
Indiana,01/11/2021,"39,200","39,200"
Iowa,01/11/2021,"18,600","18,600"
Kansas,01/11/2021,"17,000","17,000"
Kentucky,01/11/2021,"26,500","26,500"
Louisiana,01/11/2021,"27,500","27,500"
Maine,01/11/2021,"8,400","8,400"
Mariana Islands,01/11/2021,0,0
Marshall Islands,01/11/2021,0,0
Maryland,01/11/2021,"36,000","36,000"
Massachusetts,01/11/2021,"42,100","42,100"
Michigan,01/11/2021,"60,000","60,000"
Micronesia,01/11/2021,0,0
Minnesota,01/11/2021,"32,900","32,900"
Mississippi,01/11/2021,"17,600","17,600"
Missouri,01/11/2021,"36,400","36,400"
Montana,01/11/2021,"6,400","6,400"
Nebraska,01/11/2021,"11,200","11,200"
Nevada,01/11/2021,"17,400","17,400"
New Hampshire,01/11/2021,"8,400","8,400"
New Jersey,01/11/2021,"53,400","53,400"
New Mexico,01/11/2021,"12,500","12,500"
New York,01/11/2021,"68,000","68,000"
New York City,01/11/2021,"51,600","51,600"
North Carolina,01/11/2021,"60,800","60,800"
North Dakota,01/11/2021,"4,600","4,600"
Ohio,01/11/2021,"69,700","69,700"
Oklahoma,01/11/2021,"22,900","22,900"
Oregon,01/11/2021,"25,000","25,000"
Palau,01/11/2021,0,0
Pennsylvania,01/11/2021,"68,700","68,700"
Philadelphia,01/11/2021,"9,500","9,500"
Puerto Rico,01/11/2021,"20,900","20,900"
Rhode Island,01/11/2021,"6,600","6,600"
South Carolina,01/11/2021,"29,900","29,900"
South Dakota,01/11/2021,"5,100","5,100"
Tennessee,01/11/2021,"39,800","39,800"
Texas,01/11/2021,"159,100","159,100"
U.S. Virgin Islands,01/11/2021,700,700
Utah,01/11/2021,"16,600","16,600"
Vermont,01/11/2021,"4,000","4,000"
Virginia,01/11/2021,"50,600","50,600"
Washington,01/11/2021,"44,300","44,300"
West Virginia,01/11/2021,"11,300","11,300"
Wisconsin,01/11/2021,"34,900","34,900"
Wyoming,01/11/2021,"3,500","3,500"
Alabama,01/04/2021,"29,000","29,000"
Alaska,01/04/2021,"25,600","25,600"
American Samoa,01/04/2021,"2,400",0
Arizona,01/04/2021,"41,100","41,100"
Arkansas,01/04/2021,"17,600","17,600"
California,01/04/2021,"231,400","231,400"
Chicago,01/04/2021,"16,100","16,100"
Colorado,01/04/2021,"32,900","32,900"
Connecticut,01/04/2021,"21,800","21,800"
Delaware,01/04/2021,"5,800","5,800"
District of Columbia,01/04/2021,"4,400","4,400"
Federal Entities,01/04/2021,"108,400","99,600"
Florida,01/04/2021,"126,600","126,600"
Georgia,01/04/2021,"60,000","60,000"
Guam,01/04/2021,"7,200",0
Hawaii,01/04/2021,"8,600","8,600"
Idaho,01/04/2021,"9,700","9,700"
Illinois,01/04/2021,"60,100","60,100"
Indiana,01/04/2021,"39,000","39,000"
Iowa,01/04/2021,"18,500","18,500"
Kansas,01/04/2021,"16,900","16,900"
Kentucky,01/04/2021,"26,400","26,400"
Louisiana,01/04/2021,"27,400","27,400"
Maine,01/04/2021,"8,300","8,300"
Mariana Islands,01/04/2021,"2,400",0
Marshall Islands,01/04/2021,"6,400",0
Maryland,01/04/2021,"35,900","35,900"
Massachusetts,01/04/2021,"42,000","42,000"
Michigan,01/04/2021,"59,800","59,800"
Micronesia,01/04/2021,"9,600",0
Minnesota,01/04/2021,"32,700","32,700"
Mississippi,01/04/2021,"17,500","17,500"
Missouri,01/04/2021,"36,200","36,200"
Montana,01/04/2021,"6,300","6,300"
Nebraska,01/04/2021,"11,200","11,200"
Nevada,01/04/2021,"17,300","17,300"
New Hampshire,01/04/2021,"8,400","8,400"
New Jersey,01/04/2021,"53,200","53,200"
New Mexico,01/04/2021,"12,500","12,500"
New York,01/04/2021,"67,700","67,700"
New York City,01/04/2021,"51,400","51,400"
North Carolina,01/04/2021,"60,500","60,500"
North Dakota,01/04/2021,"4,600","4,600"
Ohio,01/04/2021,"69,500","69,500"
Oklahoma,01/04/2021,"22,800","22,800"
Oregon,01/04/2021,"24,800","24,800"
Palau,01/04/2021,"3,200",0
Pennsylvania,01/04/2021,"68,400","68,400"
Philadelphia,01/04/2021,"9,500","9,500"
Puerto Rico,01/04/2021,"20,800","20,800"
Rhode Island,01/04/2021,"6,600","6,600"
South Carolina,01/04/2021,"29,700","29,700"
South Dakota,01/04/2021,"5,100","5,100"
Tennessee,01/04/2021,"39,700","39,700"
Texas,01/04/2021,"158,500","158,500"
U.S. Virgin Islands,01/04/2021,700,700
Utah,01/04/2021,"16,500","16,500"
Vermont,01/04/2021,"3,900","3,900"
Virginia,01/04/2021,"50,400","50,400"
Washington,01/04/2021,"44,100","44,100"
West Virginia,01/04/2021,"11,200","11,200"
Wisconsin,01/04/2021,"34,700","34,700"
Wyoming,01/04/2021,"3,500","3,500"
Alabama,12/28/2020,"29,100","29,100"
Alaska,12/28/2020,0,0
American Samoa,12/28/2020,0,0
Arizona,12/28/2020,"41,300","41,300"
Arkansas,12/28/2020,"17,700","17,700"
California,12/28/2020,"232,300","232,300"
Chicago,12/28/2020,"16,200","16,200"
Colorado,12/28/2020,"33,000","33,000"
Connecticut,12/28/2020,"21,900","21,900"
Delaware,12/28/2020,"5,800","5,800"
District of Columbia,12/28/2020,"4,400","4,400"
Federal Entities,12/28/2020,"100,000","100,000"
Florida,12/28/2020,"127,100","127,100"
Georgia,12/28/2020,"60,200","60,200"
Guam,12/28/2020,0,0
Hawaii,12/28/2020,"8,700","8,700"
Idaho,12/28/2020,"9,700","9,700"
Illinois,12/28/2020,"60,300","60,300"
Indiana,12/28/2020,"39,200","39,200"
Iowa,12/28/2020,"18,600","18,600"
Kansas,12/28/2020,"17,000","17,000"
Kentucky,12/28/2020,"26,500","26,500"
Louisiana,12/28/2020,"27,500","27,500"
Maine,12/28/2020,"8,400","8,400"
Mariana Islands,12/28/2020,0,0
Marshall Islands,12/28/2020,0,0
Maryland,12/28/2020,"36,000","36,000"
Massachusetts,12/28/2020,"42,100","42,100"
Michigan,12/28/2020,"60,000","60,000"
Micronesia,12/28/2020,0,0
Minnesota,12/28/2020,"32,900","32,900"
Mississippi,12/28/2020,"17,600","17,600"
Missouri,12/28/2020,"36,400","36,400"
Montana,12/28/2020,"6,400","6,400"
Nebraska,12/28/2020,"11,200","11,200"
Nevada,12/28/2020,"17,400","17,400"
New Hampshire,12/28/2020,"8,400","8,400"
New Jersey,12/28/2020,"53,400","53,400"
New Mexico,12/28/2020,"12,500","12,500"
New York,12/28/2020,"68,000","68,000"
New York City,12/28/2020,"51,600","51,600"
North Carolina,12/28/2020,"60,800","60,800"
North Dakota,12/28/2020,"4,600","4,600"
Ohio,12/28/2020,"69,700","69,700"
Oklahoma,12/28/2020,"22,900","22,900"
Oregon,12/28/2020,"25,000","25,000"
Palau,12/28/2020,0,0
Pennsylvania,12/28/2020,"68,700","68,700"
Philadelphia,12/28/2020,"9,500","9,500"
Puerto Rico,12/28/2020,"20,900","20,900"
Rhode Island,12/28/2020,"6,600","6,600"
South Carolina,12/28/2020,"29,900","29,900"
South Dakota,12/28/2020,"5,100","5,100"
Tennessee,12/28/2020,"39,800","39,800"
Texas,12/28/2020,"159,100","159,100"
U.S. Virgin Islands,12/28/2020,700,700
Utah,12/28/2020,"16,600","16,600"
Vermont,12/28/2020,"4,000","4,000"
Virginia,12/28/2020,"50,600","50,600"
Washington,12/28/2020,"44,300","44,300"
West Virginia,12/28/2020,"11,300","11,300"
Wisconsin,12/28/2020,"34,900","34,900"
Wyoming,12/28/2020,"3,500","3,500"
Alabama,12/21/2020,"84,300","84,300"
Alaska,12/21/2020,"26,800","26,800"
American Samoa,12/21/2020,"2,400",0
Arizona,12/21/2020,"119,400","119,400"
Arkansas,12/21/2020,"51,100","51,100"
California,12/21/2020,"672,600","672,600"
Chicago,12/21/2020,"46,800","46,800"
Colorado,12/21/2020,"95,600","95,600"
Connecticut,12/21/2020,"63,300","63,300"
Delaware,12/21/2020,"16,700","16,700"
District of Columbia,12/21/2020,"12,600","12,600"
Federal Entities,12/21/2020,"298,200","289,200"
Florida,12/21/2020,"367,900","367,900"
Georgia,12/21/2020,"174,400","174,400"
Guam,12/21/2020,"7,600",0
Hawaii,12/21/2020,"25,000","25,000"
Idaho,12/21/2020,"28,000","28,000"
Illinois,12/21/2020,"174,600","174,600"
Indiana,12/21/2020,"113,300","113,300"
Iowa,12/21/2020,"53,800","53,800"
Kansas,12/21/2020,"49,100","49,100"
Kentucky,12/21/2020,"76,700","76,700"
Louisiana,12/21/2020,"79,500","79,500"
Maine,12/21/2020,"24,200","24,200"
Mariana Islands,12/21/2020,"2,600",0
Marshall Islands,12/21/2020,"7,200",0
Maryland,12/21/2020,"104,300","104,300"
Massachusetts,12/21/2020,"121,900","121,900"
Michigan,12/21/2020,"173,600","173,600"
Micronesia,12/21/2020,"9,800",0
Minnesota,12/21/2020,"94,900","94,900"
Mississippi,12/21/2020,"50,800","50,800"
Missouri,12/21/2020,"105,300","105,300"
Montana,12/21/2020,"18,300","18,300"
Nebraska,12/21/2020,"32,400","32,400"
Nevada,12/21/2020,"50,300","50,300"
New Hampshire,12/21/2020,"24,200","24,200"
New Jersey,12/21/2020,"154,500","154,500"
New Mexico,12/21/2020,"36,100","36,100"
New York,12/21/2020,"196,800","196,800"
New York City,12/21/2020,"149,400","149,400"
North Carolina,12/21/2020,"175,900","175,900"
North Dakota,12/21/2020,"13,200","13,200"
Ohio,12/21/2020,"201,900","201,900"
Oklahoma,12/21/2020,"66,200","66,200"
Oregon,12/21/2020,"72,100","72,100"
Palau,12/21/2020,"2,800",0
Pennsylvania,12/21/2020,"198,800","198,800"
Philadelphia,12/21/2020,"27,600","27,600"
Puerto Rico,12/21/2020,"60,400","60,400"
Rhode Island,12/21/2020,"19,000","19,000"
South Carolina,12/21/2020,"86,400","86,400"
South Dakota,12/21/2020,"14,600","14,600"
Tennessee,12/21/2020,"115,200","115,200"
Texas,12/21/2020,"460,500","460,500"
U.S. Virgin Islands,12/21/2020,"1,900","1,900"
Utah,12/21/2020,"47,800","47,800"
Vermont,12/21/2020,"11,400","11,400"
Virginia,12/21/2020,"146,400","146,400"
Washington,12/21/2020,"128,000","128,000"
West Virginia,12/21/2020,"32,600","32,600"
Wisconsin,12/21/2020,"101,000","101,000"
Wyoming,12/21/2020,"10,000","10,000"
